EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
117478,1731290,OTHER,SIS GOT TEA,,976 BARRET AVE,,LOUISVILLE,KY,40204,FOOD SERVICE,2022/11/21 05:00:00+00,99,,SIS GOT TEA,,11040
117479,1731298,OTHER,EPIPHANY,,1525 HIGHLAND AVE,,LOUISVILLE,KY,40204,FOOD SERVICE,2022/11/23 05:00:00+00,100,,EPIPHANY,,11041
117479,1734008,REGULAR,EPIPHANY,,1525 HIGHLAND AVE,,LOUISVILLE,KY,40204,FOOD SERVICE,2023/02/08 05:00:00+00,100,A,EPIPHANY,,11042
117482,1731300,OTHER,BARRY'S CHEESESTEAKS VALLEY STATION,,5408 VALLEY STATION RD,,LOUISVILLE,KY,40272,FOOD SERVICE,2022/12/07 05:00:00+00,95,,BARRY'S CHEESESTEAKS VALLEY STATION,,11043
117482,1733148,REGULAR,BARRY'S CHEESESTEAKS VALLEY STATION,,5408 VALLEY STATION RD,,LOUISVILLE,KY,40272,FOOD SERVICE,2023/02/02 05:00:00+00,97,A,BARRY'S CHEESESTEAKS VALLEY STATION,,11044
117483,1731305,OTHER,JIMMY JOHN'S #4387,,5105 DIXIE HWY STE A,,LOUISVILLE,KY,40216,FOOD SERVICE,2022/12/22 05:00:00+00,100,,JIMMY JOHN'S #4387,,11045
117483,1731817,REGULAR,JIMMY JOHN'S #4387,,5105 DIXIE HWY STE A,,LOUISVILLE,KY,40216,FOOD SERVICE,2023/01/27 05:00:00+00,97,A,JIMMY JOHN'S #4387,,11046
117486,1731311,OTHER,MEXA STEAK TACOS,,3701 LEXINGTON RD STE 1,,LOUISVILLE,KY,40207,FOOD SERVICE,2022/12/29 05:00:00+00,98,,MEXA STEAK TACOS,,11047
117486,1737330,REGULAR,MEXA STEAK TACOS,,3701 LEXINGTON RD STE 1,,LOUISVILLE,KY,40207,FOOD SERVICE,2023/02/23 05:00:00+00,98,A,MEXA STEAK TACOS,,11048
117487,1731872,ENFORCEMENT ACTIONS,DOMINO'S PIZZA #1422,,3951 TAYLORSVILLE RD,,LOUISVILLE,KY,40220,FOOD SERVICE,2022/12/19 05:00:00+00,0,,DOMINO'S PIZZA #1422,,11049
116982,1716291,OTHER,FRIENDLY MART VALERO,,3741 S HURSTBOURNE PKWY,,LOUISVILLE,KY,40299,PRE-PACKAGED RETAIL,2022/10/28 04:00:00+00,96,,FRIENDLY MART VALERO,,11050
116820,1727735,REGULAR,MIAS INTERNATIONAL PLUS,,7317 ST ANDREWS CHURCH RD,,LOUISVILLE,KY,40214,SUPERMARKET WITH PROCESSING,2023/01/09 05:00:00+00,99,,MIAS INTERNATIONAL PLUS,,11051
116983,1716292,OTHER,PREPPING WITH PEPPERS,,1929 BLANKENBAKER PKWY,,LOUISVILLE,KY,40299,FOOD SERVICE,2022/10/28 04:00:00+00,100,,PREPPING WITH PEPPERS,,11052
116565,1703402,COMPLAINT,GREEN MARKET,,3401 W MARKET ST,,LOUISVILLE,KY,40212,PRE-PACKAGED RETAIL,2022/08/09 04:00:00+00,0,,GREEN MARKET,,11053
117511,1732068,OTHER,AMERICAN MIX,,3808 CANE RUN RD,,LOUISVILLE,KY,40211,FOOD SERVICE,2022/11/30 05:00:00+00,98,,AMERICAN MIX,,11054
116821,1710911,OTHER,STARBUCKS #65508,,7718 BARDSTOWN RD STE 101,,LOUISVILLE,KY,40291,FOOD SERVICE,2022/09/26 04:00:00+00,100,,STARBUCKS #65508,,11055
116983,1720641,REGULAR,PREPPING WITH PEPPERS,,1929 BLANKENBAKER PKWY,,LOUISVILLE,KY,40299,FOOD SERVICE,2022/12/02 05:00:00+00,100,A,PREPPING WITH PEPPERS,,11056
116565,1703403,FOLLOWUP,GREEN MARKET,,3401 W MARKET ST,,LOUISVILLE,KY,40212,PRE-PACKAGED RETAIL,2022/08/09 04:00:00+00,0,,GREEN MARKET,,11057
116821,1715246,REGULAR,STARBUCKS #65508,,7718 BARDSTOWN RD STE 101,,LOUISVILLE,KY,40291,FOOD SERVICE,2022/11/07 05:00:00+00,100,A,STARBUCKS #65508,,11058
117512,1732133,OTHER,PARLAY,,416 W MUHAMMAD ALI BLVD STE 100,,LOUISVILLE,KY,40202,FOOD SERVICE,2022/12/14 05:00:00+00,100,,PARLAY,,11059
116984,1716293,OTHER,HALF BAKED KITCHEN,,1929 BLANKENBAKER PKWY,,LOUISVILLE,KY,40299,FOOD SERVICE,2022/10/28 04:00:00+00,100,,HALF BAKED KITCHEN,,11060
116565,1703404,FOLLOWUP,GREEN MARKET,,3401 W MARKET ST,,LOUISVILLE,KY,40212,PRE-PACKAGED RETAIL,2022/08/10 04:00:00+00,0,,GREEN MARKET,,11061
116822,1710912,OTHER,THORNTONS #169,,7101 GREENRIDGE FARM DR,,LOUISVILLE,KY,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/10/04 04:00:00+00,100,,THORNTONS #169,,11062
117512,1735962,REGULAR,PARLAY,,416 W MUHAMMAD ALI BLVD STE 100,,LOUISVILLE,KY,40202,FOOD SERVICE,2023/02/17 05:00:00+00,96,A,PARLAY,,11063
116984,1720642,REGULAR,HALF BAKED KITCHEN,,1929 BLANKENBAKER PKWY,,LOUISVILLE,KY,40299,FOOD SERVICE,2022/12/02 05:00:00+00,100,A,HALF BAKED KITCHEN,,11064
116565,1703405,OFFICE,GREEN MARKET,,3401 W MARKET ST,,LOUISVILLE,KY,40212,PRE-PACKAGED RETAIL,2022/08/10 04:00:00+00,0,,GREEN MARKET,,11065
116822,1710913,OTHER,THORNTONS #169,,7101 GREENRIDGE FARM DR,,LOUISVILLE,KY,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/10/04 04:00:00+00,100,,THORNTONS #169,,11066
117513,1736796,REGULAR,RACETRAC,,8000 AIR COMMERCE DR,,LOUISVILLE,KY,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023/02/21 05:00:00+00,95,A,RACETRAC,,11067
116985,1716295,SURVEY,COOKIE CRUSH,,1613 BARDSTOWN RD,,LOUISVILLE,KY,40205,FOOD SERVICE,2022/10/24 04:00:00+00,0,,COOKIE CRUSH,,11068
116565,1704210,REGULAR,GREEN MARKET,,3401 W MARKET ST,,LOUISVILLE,KY,40212,PRE-PACKAGED RETAIL,2022/09/27 04:00:00+00,100,,GREEN MARKET,,11069
116822,1719037,REGULAR,THORNTONS #169,,7101 GREENRIDGE FARM DR,,LOUISVILLE,KY,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/11/23 05:00:00+00,98,A,THORNTONS #169,,11070
117513,1736797,REGULAR,RACETRAC,,8000 AIR COMMERCE DR,,LOUISVILLE,KY,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023/02/21 05:00:00+00,98,,RACETRAC,,11071
